NaOH;Inferior;Superior
0;81.8332872;100
0.072686567;81.8332872;100
0.198238806;81.8332872;100
0.323791045;81.8332872;100
0.449343284;81.8332872;100
0.574895522;81.8332872;100
0.700447761;81.8332872;100
0.826;81.8332872;100
0.951552239;81.8332872;100
1.077104478;81.54221453;100
1.202656716;81.54221453;100
1.328208955;81.54221453;100
1.453761194;81.54221453;100
1.579313433;81.54221453;100.1708651
1.704865672;81.54221453;100.1708651
1.83041791;81.54221453;100.1708651
1.955970149;81.54221453;100.1708651
2.081522388;81.25114187;100.1708651
2.207074627;81.25114187;100.1708651
2.332626866;81.25114187;100.1708651
2.458179104;81.25114187;100.1708651
2.583731343;81.25114187;100.1708651
2.709283582;81.25114187;100.4619377
2.834835821;81.25114187;100.4619377
2.96038806;80.9600692;100.4619377
3.085940299;80.9600692;100.4619377
3.211492537;80.9600692;100.4619377
3.337044776;80.9600692;100.4619377
3.462597015;80.9600692;100.4619377
3.588149254;80.9600692;100.4619377
3.713701493;80.66899654;100.4619377
3.839253731;80.66899654;100.4619377
3.96480597;80.66899654;100.7530104
4.090358209;80.66899654;100.7530104
4.215910448;80.66899654;100.7530104
4.341462687;80.66899654;100.7530104
4.467014925;80.37792388;100.7530104
4.592567164;80.37792388;100.7530104
4.718119403;80.37792388;100.7530104
4.843671642;80.37792388;100.7530104
4.969223881;80.37792388;101.044083
5.094776119;80.37792388;101.044083
5.220328358;80.08685121;101.044083
5.345880597;80.08685121;101.044083
5.471432836;80.08685121;101.044083
5.596985075;80.08685121;101.3351557
5.722537313;80.08685121;101.3351557
5.848089552;79.79577855;101.3351557
5.973641791;79.79577855;101.3351557
6.09919403;79.79577855;101.3351557
6.224746269;79.79577855;101.6262284
6.350298507;79.79577855;101.6262284
6.475850746;79.50470588;101.6262284
6.601402985;79.50470588;101.6262284
6.726955224;79.50470588;101.917301
6.852507463;79.50470588;101.917301
6.978059701;79.50470588;101.917301
7.10361194;79.21363322;101.917301
7.229164179;79.21363322;101.917301
7.354716418;79.21363322;102.2083737
7.480268657;78.92256055;102.2083737
7.605820896;78.92256055;102.2083737
7.731373134;78.92256055;102.4994464
7.856925373;78.92256055;102.4994464
7.982477612;78.92256055;102.4994464
8.108029851;78.63148789;102.4994464
8.23358209;78.63148789;102.790519
8.359134328;78.63148789;102.790519
8.484686567;78.63148789;102.790519
8.610238806;78.34041522;102.790519
8.735791045;78.34041522;103.0815917
8.861343284;78.34041522;103.0815917
8.986895522;78.34041522;103.0815917
9.112447761;78.04934256;103.3726644
9.238;78.04934256;103.3726644
9.363552239;78.04934256;103.663737
9.489104478;77.7582699;103.663737
9.614656716;77.7582699;103.663737
9.740208955;77.7582699;103.663737
9.865761194;77.7582699;103.9548097
9.991313433;77.7582699;103.9548097
10.11686567;77.46719723;103.9548097
10.24241791;77.46719723;104.2458824
10.36797015;77.46719723;104.2458824
10.49352239;77.17612457;104.536955
10.61907463;77.17612457;104.536955
10.74462687;77.17612457;104.536955
10.8701791;76.8850519;104.536955
10.99573134;76.8850519;104.8280277
11.12128358;76.8850519;104.8280277
11.24683582;76.8850519;105.1191003
11.37238806;76.59397924;105.1191003
11.4979403;76.59397924;105.1191003
11.62349254;76.59397924;105.1191003
11.74904478;76.59397924;105.410173
11.87459701;76.30290657;105.410173
12.00014925;76.30290657;105.7012457
12.12570149;76.30290657;105.7012457
12.25125373;76.01183391;105.7012457
12.37680597;76.01183391;105.9923183
12.50235821;76.01183391;105.9923183
12.62791045;75.72076125;105.9923183
12.75346269;75.72076125;106.283391
12.87901493;75.72076125;106.283391
13.00456716;75.42968858;106.5744637
13.1301194;75.42968858;106.5744637
13.25567164;75.42968858;106.5744637
13.38122388;75.42968858;106.8655363
13.50677612;75.13861592;106.8655363
13.63232836;75.13861592;106.8655363
13.7578806;75.13861592;107.156609
13.88343284;74.84754325;107.156609
14.00898507;74.84754325;107.156609
14.13453731;74.84754325;107.4476817
14.26008955;74.84754325;107.4476817
14.38564179;74.55647059;107.7387543
14.51119403;74.55647059;107.7387543
14.63674627;74.26539792;107.7387543
14.76229851;74.26539792;108.029827
14.88785075;74.26539792;108.029827
15.01340299;73.97432526;108.029827
15.13895522;73.97432526;108.3208997
15.26450746;73.6832526;108.3208997
15.3900597;73.6832526;108.3208997
15.51561194;73.6832526;108.6119723
15.64116418;73.39217993;108.6119723
15.76671642;73.39217993;108.6119723
15.89226866;73.39217993;108.903045
16.0178209;73.10110727;108.903045
16.14337313;73.10110727;108.903045
16.26892537;73.10110727;109.1941176
16.39447761;72.8100346;109.1941176
16.52002985;72.8100346;109.1941176
16.64558209;72.51896194;109.1941176
16.77113433;72.51896194;109.4851903
16.89668657;72.51896194;109.4851903
17.02223881;72.22788927;109.4851903
17.14779104;72.22788927;109.4851903
17.27334328;72.22788927;109.776263
17.39889552;71.93681661;109.776263
17.52444776;71.93681661;109.776263
17.65;71.64574394;109.776263
17.77555224;71.64574394;109.776263
17.90110448;71.64574394;110.0673356
18.02665672;71.35467128;110.0673356
18.15220896;71.35467128;110.0673356
18.27776119;71.35467128;110.0673356
18.40331343;71.06359862;110.0673356
18.52886567;71.06359862;110.0673356
18.65441791;70.77252595;110.3584083
18.77997015;70.77252595;110.3584083
18.90552239;70.77252595;110.3584083
19.03107463;70.48145329;110.3584083
19.15662687;70.48145329;110.3584083
19.2821791;70.48145329;110.3584083
19.40773134;70.19038062;110.3584083
19.53328358;70.19038062;110.3584083
19.65883582;69.89930796;110.3584083
19.78438806;69.89930796;110.3584083
19.9099403;69.89930796;110.3584083
20.03549254;69.60823529;110.3584083
20.16104478;69.60823529;110.3584083
20.28659701;69.31716263;110.3584083
20.41214925;69.31716263;110.3584083
20.53770149;69.31716263;110.3584083
20.66325373;69.02608997;110.3584083
20.78880597;69.02608997;110.0673356
20.91435821;68.7350173;110.0673356
21.03991045;68.7350173;110.0673356
21.16546269;68.7350173;110.0673356
21.29101493;68.44394464;110.0673356
21.41656716;68.44394464;109.776263
21.5421194;68.15287197;109.776263
21.66767164;68.15287197;109.776263
21.79322388;67.86179931;109.776263
21.91877612;67.86179931;109.4851903
22.04432836;67.86179931;109.4851903
22.1698806;67.57072664;109.4851903
22.29543284;67.57072664;109.4851903
22.42098507;67.27965398;109.1941176
22.54653731;67.27965398;109.1941176
22.67208955;67.27965398;109.1941176
22.79764179;66.98858131;108.903045
22.92319403;66.98858131;108.903045
23.04874627;66.69750865;108.6119723
23.17429851;66.69750865;108.6119723
23.29985075;66.69750865;108.6119723
23.42540299;66.40643599;108.3208997
23.55095522;66.40643599;108.3208997
23.67650746;66.11536332;108.029827
23.8020597;66.11536332;108.029827
23.92761194;65.82429066;107.7387543
24.05316418;65.82429066;107.7387543
24.17871642;65.82429066;107.4476817
24.30426866;65.53321799;107.4476817
24.4298209;65.53321799;107.156609
24.55537313;65.24214533;107.156609
24.68092537;65.24214533;106.8655363
24.80647761;64.95107266;106.5744637
24.93202985;64.95107266;106.5744637
25.05758209;64.95107266;106.283391
25.18313433;64.66;105.9923183
25.30868657;64.66;105.9923183
25.43423881;64.36892734;105.7012457
25.55979104;64.36892734;105.410173
25.68534328;64.07785467;105.410173
25.81089552;64.07785467;105.1191003
25.93644776;64.07785467;104.8280277
26.062;63.78678201;104.8280277
26.18755224;63.78678201;104.536955
26.31310448;63.49570934;104.2458824
26.43865672;63.49570934;103.9548097
26.56420896;63.20463668;103.9548097
26.68976119;63.20463668;103.663737
26.81531343;62.91356401;103.3726644
26.94086567;62.91356401;103.0815917
27.06641791;62.91356401;102.790519
27.19197015;62.62249135;102.790519
27.31752239;62.62249135;102.4994464
27.44307463;62.33141869;102.2083737
27.56862687;62.33141869;101.917301
27.6941791;62.04034602;101.6262284
27.81973134;62.04034602;101.3351557
27.94528358;62.04034602;101.3351557
28.07083582;61.74927336;101.044083
28.19638806;61.74927336;100.7530104
28.3219403;61.45820069;100.4619377
28.44749254;61.45820069;100.1708651
28.57304478;61.16712803;100.1708651
28.69859701;61.16712803;99.87979239
28.82414925;61.16712803;99.58871972
28.94970149;60.87605536;99.29764706
29.07525373;60.87605536;99.00657439
29.20080597;60.5849827;98.71550173
29.32635821;60.5849827;98.71550173
29.45191045;60.29391003;98.42442907
29.57746269;60.29391003;98.1333564
29.70301493;60.29391003;97.84228374
29.82856716;60.00283737;97.84228374
29.9541194;60.00283737;97.26013841
30.07967164;59.71176471;97.26013841
30.20522388;59.71176471;96.96906574
30.33077612;59.42069204;96.67799308
30.45632836;59.42069204;96.38692042
30.5818806;59.12961938;96.09584775
30.70743284;59.12961938;95.80477509
30.83298507;59.12961938;95.51370242
30.95853731;58.83854671;95.51370242
31.08408955;58.83854671;95.22262976
31.20964179;58.54747405;94.93155709
31.33519403;58.54747405;94.64048443
31.46074627;58.25640138;94.34941176
31.58629851;58.25640138;94.34941176
31.71185075;58.25640138;94.0583391
31.83740299;57.96532872;93.76726644
31.96295522;57.96532872;93.47619377
32.08850746;57.67425606;93.47619377
32.2140597;57.67425606;93.18512111
32.33961194;57.38318339;92.89404844
32.46516418;57.38318339;92.60297578
32.59071642;57.38318339;92.31190311
32.71626866;57.09211073;92.31190311
32.8418209;57.09211073;92.02083045
32.96737313;56.80103806;91.72975779
33.09292537;56.80103806;91.72975779
33.21847761;56.80103806;91.43868512
33.34402985;56.5099654;91.14761246
33.46958209;56.5099654;90.85653979
33.59513433;56.21889273;90.56546713
33.72068657;56.21889273;90.56546713
33.84623881;56.21889273;90.27439446
33.97179104;55.92782007;89.9833218
34.09734328;55.92782007;89.9833218
34.22289552;55.6367474;89.69224913
34.34844776;55.6367474;89.40117647
34.474;55.6367474;89.40117647
34.59955224;55.34567474;89.11010381
34.72510448;55.34567474;88.81903114
34.85065672;55.05460208;88.81903114
34.97620896;55.05460208;88.52795848
35.10176119;55.05460208;88.23688581
35.22731343;54.76352941;88.23688581
35.35286567;54.76352941;87.94581315
35.47841791;54.47245675;87.94581315
35.60397015;54.47245675;87.65474048
35.72952239;54.47245675;87.36366782
35.85507463;54.18138408;87.36366782
35.98062687;54.18138408;87.07259516
36.1061791;54.18138408;87.07259516
36.23173134;53.89031142;86.78152249
36.35728358;53.89031142;86.49044983
36.48283582;53.59923875;86.49044983
36.60838806;53.59923875;86.19937716
36.7339403;53.59923875;86.19937716
36.85949254;53.30816609;85.9083045
36.98504478;53.30816609;85.9083045
37.11059701;53.30816609;85.61723183
37.23614925;53.01709343;85.61723183
37.36170149;53.01709343;85.32615917
37.48725373;52.72602076;85.32615917
37.61280597;52.72602076;85.03508651
37.73835821;52.72602076;84.74401384
37.86391045;52.4349481;84.74401384
37.98946269;52.4349481;84.74401384
38.11501493;52.4349481;84.45294118
38.24056716;52.14387543;84.45294118
38.3661194;52.14387543;84.16186851
38.49167164;52.14387543;84.16186851
38.61722388;51.85280277;83.87079585
38.74277612;51.85280277;83.57972318
38.9938806;51.5617301;83.28865052
39.11943284;51.5617301;83.28865052
39.24498507;51.5617301;83.28865052
39.37053731;51.27065744;82.99757785
39.49608955;51.27065744;82.99757785
39.62164179;51.27065744;82.99757785
39.74719403;50.97958478;82.70650519
39.87274627;50.97958478;82.70650519
39.99829851;50.97958478;82.41543253
40.12385075;50.68851211;82.41543253
40.24940299;50.68851211;82.12435986
40.37495522;50.68851211;82.12435986
40.50050746;50.39743945;82.12435986
40.6260597;50.39743945;81.8332872
40.75161194;50.39743945;81.8332872
40.87716418;50.39743945;81.8332872
41.00271642;50.10636678;81.54221453
41.12826866;50.10636678;81.54221453
41.2538209;50.10636678;81.54221453
41.37937313;50.10636678;81.25114187
41.50492537;49.81529412;81.25114187
41.63047761;49.81529412;80.9600692
41.75602985;49.81529412;80.9600692
41.88158209;49.81529412;80.9600692
42.00713433;49.52422145;80.66899654
42.13268657;49.52422145;80.66899654
42.25823881;49.52422145;80.66899654
42.38379104;49.23314879;80.37792388
42.50934328;49.23314879;80.37792388
42.63489552;49.23314879;80.37792388
42.76044776;49.23314879;80.08685121
42.886;48.94207612;80.08685121
43.01155224;48.94207612;80.08685121
43.13710448;48.94207612;79.79577855
43.26265672;48.94207612;79.79577855
43.38820896;48.94207612;79.79577855
43.51376119;48.65100346;79.79577855
43.63931343;48.65100346;79.50470588
43.76486567;48.65100346;79.50470588
43.89041791;48.65100346;79.50470588
44.01597015;48.3599308;79.50470588
44.14152239;48.3599308;79.21363322
44.26707463;48.3599308;79.21363322
44.39262687;48.3599308;79.21363322
44.5181791;48.3599308;78.92256055
44.64373134;48.06885813;78.92256055
44.76928358;48.06885813;78.92256055
44.89483582;48.06885813;78.92256055
45.02038806;48.06885813;78.63148789
45.1459403;48.06885813;78.63148789
45.27149254;48.06885813;78.63148789
45.39704478;47.77778547;78.63148789
45.52259701;47.77778547;78.34041522
45.64814925;47.77778547;78.34041522
45.77370149;47.77778547;78.34041522
45.89925373;47.77778547;78.34041522
46.02480597;47.77778547;78.34041522
46.15035821;47.77778547;78.04934256
46.27591045;47.77778547;78.04934256
46.40146269;47.4867128;78.04934256
46.52701493;47.4867128;78.04934256
46.65256716;47.4867128;77.7582699
46.7781194;47.4867128;77.7582699
46.90367164;47.4867128;77.7582699
47.02922388;47.4867128;77.7582699
47.15477612;47.4867128;77.7582699
47.28032836;47.4867128;77.46719723
47.4058806;47.4867128;77.46719723
47.53143284;47.4867128;77.46719723
47.65698507;47.19564014;77.46719723
47.78253731;47.19564014;77.46719723
47.90808955;47.19564014;77.17612457
48.03364179;47.19564014;77.17612457
48.15919403;47.19564014;77.17612457
48.28474627;47.19564014;77.17612457
48.41029851;47.19564014;77.17612457
48.53585075;47.19564014;76.8850519
48.66140299;47.19564014;76.8850519
48.78695522;47.19564014;76.8850519
48.91250746;47.19564014;76.8850519
49.0380597;47.19564014;76.8850519
49.16361194;47.19564014;76.8850519
49.28916418;47.19564014;76.59397924
49.41471642;47.19564014;76.59397924
49.54026866;47.19564014;76.59397924
49.6658209;47.19564014;76.59397924
50;47.19564014;76
